5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/20911_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,61,862.0450454,SAiG~$C%r]~a&&V?l]M+m:0þQt~2?(OuWy2\P~iC>@rW3#d{11y7@S]A|A;()
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/21626_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,61,862.9256387,$G:'1>cWƒy~PBwdnlM9s/(‚8WAiQuC+44M!;HqHIBr|c_b3þS@i€gx‚Ke/y$K
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/22223_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,60,864.6819999,]<]5ArgB!xƒ;,CLuAl~2rN97*HCMGNF]4=bi4)RVkMI|FJ<+*T9|,vDPIWR
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/22483_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,60,863.1229283,lp.nw@€zwYm[/ƒ<Qj!bj("wxƒi[`xP|þeeƒ~QOf9DcdA:T7Bn)^k`YFkjSI
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/22607_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,61,865.0781681,8`-6L"*Xp|b;Qh-.Y??1Iƒy&qzPWr0xF2uX{?$?X"oj&nPpy#D~JJ,J8k/U
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/22963_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,61,864.8066277,(iS‚MRXbUekz[*yzPK$62t~H3&y'þr65@^dA:5+U3~j9N2ebP!")0|Nja*MT
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/23584_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,61,862.5193268,vþ{//J}U0C5)~A.|0%6Mf[-<&7^D\IrP?bO-=/95bvwZoajP0‚n/xm}s|X"-:
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/24565_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,60,861.1434597,o8uRWC):B&2=.T8u[*C{bdy#~11Q(;HMjþ2Rl+zb.W~FcDt^`jds(C}V:Ypg
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/24675_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,60,862.6153817,dI5F5~MoO&\PsgMB3J=Bq€x;:|þI2Fþ7Uf!}2a>v^G/O-B7<n5CQ&J<{)c
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/26072_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,61,863.3166734,+g<‚sl}XSS^&t}[/d^€O}@y;3=dcT€VnF?->{G(/oZGu5ix|6~K@V2%N.]#c
5000 100 GMPSUM100 smpl1 ../../Instances/ES/5000_100_100/26559_5000_100_100 BSCharp_GMPSUM100_ES_Beam_5000_Filter_100.out.csv 900,GMPSUM100,100,5000,100,60,863.5891528,Uuq;kFUr`N`I€qga^/mL{!J%$_C2t_pF.Op<*‚0xhXX<s7Wj&aKH#Hi`þ~9^
