./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_8.txt ,129,14.8906,isetatereionaeintitionsieeaieeteonnintrereaonseeecoeesineetonintireateettintitinitiftonseterithatrethesintaeretattontintitoititer
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_6.txt ,127,11.2656,tisetsatanaintutostifutisineeetieeteoncaieereetinsettheconesetsaneeentitieatstintintetiionoiutnsistatintereriontontinttioiitero
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_2.txt ,135,12.3125,inttiontietatsintitiosttitionseseesintninereetioninintsraoneeeeieitonsireatintuitinistifutoteenttoiettinteraetintorninteredtioitntealor
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_9.txt ,128,14.7656,tisteatanaintitostisetinaesinnaintreeeationnteeeitonerieinetintnratintitionsieteteitutiistiettteetieretinsintiateeoteittionterli
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_7.txt ,124,11.25,tiseatanintitiontiutiteiaintrsieerareseenaraeatioetthetoeintonieeesetoietinitinitioiiteeenentcoinetntereesntationtintitiotes
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_3.txt ,131,12.0156,isteatanaintitintitionsitainterieseenainetionsttionrieinterionnontinentititiontetuitinisticetnterertieretiononntiaerereaittionteroi
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_10.txt ,130,15.7188,tisteatanaintitotititonsietaintaeeerreeenntoreerereinsieeenetietenieintuiititetiointtoistettiteaeeentionntisathereonstittiititerlr
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_8.txt ,127,11.4844,tistesatanaitisietireioniinetaintraicaeseeninareationettontonstsaneentiticeasieinnoeintitionttiteretinteerentationtintitoiineor
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_4.txt ,127,11.9062,inttntieatintitintetitsiseeenaintereeeatonteitonerieinteriontotineatnitionsiettitetnstioiontstiretirettionntaatitosettitonterli
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_9.txt ,122,11.1875,tiseatanintitiontiutiteiaintrsieerareseenaraeationthtoesintonieeeeretietenttinitioiteeeeneteointstitereationatonteniintear
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_11.txt ,128,15.3438,tiseatnintitintitostietainereetonttnteeresenaoneesieoetieinteraiteetioneittioitinitionisetrteetinereeinonintereonsetittiititerli
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_5.txt ,127,12.1562,isetatnaintitintitionsientaeetioneeanratinoeteinotatoandoinntiriteratinntintetoiitonoiutrterarnttinteraeatitontintutiotitoterli
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_10.txt ,122,10.9219,tisetsatanaititionitifutiineeetraeenoneieeanaeatioeteniototoaneeeeresetinitintiintetsiteneintonstereterentealetotinoteterl
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_6.txt ,128,12.0156,tiseatnintitintitionsietainteraionantintterininteisutorieeeeoresetineiatintitinistifeeenstointstitereatintoninteredoettitonterli
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_0.txt ,151,17.5156,isetteationdertintintitionistifutanintitontereerainenttintaoteteintuititiareeeetionieintitionstietnsotesininstiroinratsatiteainiitereraaittintonteterei
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_11.txt ,122,11.3438,tiseatanintitiontiutiteiaintrsieerareseenaraeationthtoesintonieeeeretietenttinitioiiteeenentinetinteretinatatintntitiitite
