600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_2.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,899.3,26,147,12.6295233,tiseeatesintranaitiontiutosttintereeitutereetintrationeeeeeetionandoteteniintutitratiopresttontintetlitintiaaeontonistyretinatationtntitereaoiintei
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_3.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,895.7,26,143,12.3736806,tiseatesintereeiatontoinuttinereetteetteeenoneaieereatinsieeeneaottiossandoeanoititieatiopetintitonitreeestitaaansteetintrrerenttionntintereine
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_4.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,891.5,26,145,12.6178841,tierteaeranaittseeatinereeiinutiittinteraesicereeainaroatiseteneoettionstsandenoenititiratiopetinutiotarinoetetatintestintererenttionntintereinor
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_5.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,891.4,26,143,12.5308149,tiaereetanaitintomatonereeiatintinttinticeinteratisererieoteininaotontostoneeentitieatosietinttoitinatooiterarintatanteetesntiontitntitiititrao
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_6.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,889.7,26,141,11.989472,tiaeteaeranaittseeatonereeiatntinttintcaneaaeresentatnatereatioeeentotionstsanteenonistifuyotinssettraaiarinttntheetieanrettionttinitiititrai
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_7.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,887.1,26,143,12.2548982,tiateaeranaitisietotoneenaitntointinteraticesresentatnatereatioetenetotionstsatoinntitionitittiitooseerienrarinsthesintaeranntinontitiitoitraor
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_8.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,872.7,26,140,11.6213737,seteateranaitisiestinereraiatintinttteretionneieeatnarotiseeeneoettionstsaneeentitionietinttontiitonoeeeneateointintereationntaintosteinterl
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_9.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,859.7,26,139,11.7786129,tisteaeranaittsieetinereraiatintinttterationneieeatnaratiseeeneoettionstsaneeentitionieinttiniiotonoeeeenteaintintereatintontalittiitinteri
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_10.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,848.2,26,139,11.850952,seteateranaitisieetinereraiatintinttterationneieeatnaratiseeeneoettionstsaneeentitionieinttiitiotonoeeeenteaintintereationatontintioititeri
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_11.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,907,26,154,12.2349328,intuitnistisetatanintutionsticutitinieenereetiniinrneaeteinetenthereintooseeeeintiinisteintuitionisticfettsteneointitionstereatintoereinintionitintiinties
